Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	alpha[11]	alpha[12]	alpha[13]	alpha[14]	alpha[15]	alpha[16]	alpha[17]	alpha[18]	alpha[19]	alpha[20]	alpha[21]	alpha[22]	alpha[23]	alpha[24]	clock_rate[1]	clock_rate[2]	clock_rate[3]	clock_rate[4]	clock_rate[5]	clock_rate[6]	clock_rate[7]	clock_rate[8]	clock_rate[9]	clock_rate[10]	clock_rate[11]	clock_rate[12]	clock_rate[13]	clock_rate[14]	clock_rate[15]	clock_rate[16]	clock_rate[17]	clock_rate[18]	clock_rate[19]	clock_rate[20]	clock_rate[21]	clock_rate[22]	clock_rate[23]	clock_rate[24]	extinction	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	kappa[11]	kappa[12]	kappa[13]	kappa[14]	kappa[15]	kappa[16]	kappa[17]	kappa[18]	kappa[19]	kappa[20]	kappa[21]	kappa[22]	kappa[23]	kappa[24]	log_clock_rate[1]	log_clock_rate[2]	log_clock_rate[3]	log_clock_rate[4]	log_clock_rate[5]	log_clock_rate[6]	log_clock_rate[7]	log_clock_rate[8]	log_clock_rate[9]	log_clock_rate[10]	log_clock_rate[11]	log_clock_rate[12]	log_clock_rate[13]	log_clock_rate[14]	log_clock_rate[15]	log_clock_rate[16]	log_clock_rate[17]	log_clock_rate[18]	log_clock_rate[19]	log_clock_rate[20]	log_clock_rate[21]	log_clock_rate[22]	log_clock_rate[23]	log_clock_rate[24]	relativeExtinction	root	speciation
0	-141725	-141443	-281.67	0.0214211	0.183654	0.206874	0.241011	0.223627	0.212586	0.206381	0.220181	0.239542	0.215	0.217269	0.224706	0.190829	0.0341625	0.190591	0.238307	0.237493	0.203869	0.199306	0.209815	0.227704	0.207745	0.213342	0.216628	4479.56	0.0048789	0.00480464	0.00497761	0.00487177	0.00433898	0.00456656	0.00519298	0.00503521	0.00468025	0.00485931	0.00533448	0.00466271	31.039	0.00496119	0.00434096	0.00531784	0.0050066	0.00487419	0.00439591	0.00530504	0.00483368	0.00511554	0.00477121	2.49917	5.36972	4.85273	4.22706	5.3272	4.67884	5.22362	4.20151	5.14444	4.3314	4.10984	4.35601	4.86436	4.4641	3.59759	4.27571	5.10858	4.71457	5.68432	4.6411	4.56662	4.49255	4.93455	5.42912	5.68406	3.65124	-2.31168	-2.31834	-2.30298	-2.31231	-2.36261	-2.34041	-2.28458	-2.29798	-2.32973	-2.31343	-2.27291	-2.33136	1.49191	-2.30441	-2.36241	-2.27426	-2.30046	-2.3121	-2.35695	-2.27531	-2.31572	-2.29111	-2.32137	0.994743	80.8108	2.51238
10	-141710	-141427	-283.407	0.0214661	0.218576	0.212271	0.192684	0.218755	0.212499	0.240458	0.210875	0.195547	0.217714	0.205404	0.199027	0.215815	0.0351664	0.199765	0.21224	0.199376	0.217361	0.210743	0.223319	0.222776	0.211438	0.211217	0.181492	4794.3	0.00432171	0.0045041	0.00479308	0.00463172	0.00488438	0.00437893	0.00513404	0.00514974	0.0053747	0.00512496	0.00479749	0.00476924	27.0385	0.00480877	0.00468147	0.00500971	0.00431726	0.00488125	0.00450643	0.00452589	0.00456238	0.00471927	0.00441342	2.53577	5.05009	5.52575	4.37964	5.08225	5.65486	5.18952	4.88837	4.40321	4.33096	3.87366	5.32663	4.45202	5.37875	4.99381	5.3154	4.92693	4.40944	5.23499	5.23484	4.25527	4.68409	4.37962	5.0896	4.14804	3.68073	-2.36434	-2.34639	-2.31939	-2.33426	-2.31119	-2.35863	-2.28954	-2.28821	-2.26965	-2.29031	-2.31899	-2.32155	1.43198	-2.31797	-2.32962	-2.30019	-2.36479	-2.31147	-2.34617	-2.3443	-2.34081	-2.32613	-2.35522	0.994613	82.9321	2.54951
20	-141722	-141437	-284.413	0.0215068	0.206662	0.196852	0.222413	0.220892	0.214032	0.212423	0.202988	0.185432	0.221748	0.220221	0.21115	0.206346	0.0350922	0.230926	0.191931	0.20098	0.203939	0.228036	0.201709	0.215463	0.217545	0.216662	0.238798	4278.33	0.0050795	0.00513944	0.00485121	0.00470718	0.00420475	0.0049377	0.00483792	0.00519727	0.0050358	0.0046605	0.00463708	0.00511327	26.1475	0.0047123	0.00454909	0.00559666	0.00528615	0.00520913	0.00521657	0.00485122	0.00563482	0.00476028	0.00511806	2.87237	5.04852	4.83639	4.94687	5.22085	4.68596	4.8386	5.31987	4.8547	4.8884	4.608	4.54624	4.55009	5.18602	5.12444	5.1769	4.32944	4.8221	4.9763	4.90701	5.00303	4.93248	4.95378	4.29229	4.66726	3.63127	-2.29418	-2.28908	-2.31415	-2.32724	-2.37626	-2.30647	-2.31534	-2.28422	-2.29793	-2.33157	-2.33376	-2.2913	1.41743	-2.32677	-2.34208	-2.25207	-2.27686	-2.28323	-2.28261	-2.31415	-2.24912	-2.32237	-2.2909	0.990414	81.7033	2.90017
30	-141709	-141429	-280.844	0.0213958	0.208106	0.215539	0.201028	0.23554	0.213533	0.199425	0.219893	0.228059	0.199012	0.192586	0.222044	0.210321	0.0353375	0.187409	0.235536	0.210645	0.210354	0.180126	0.219411	0.196734	0.20421	0.228784	0.202338	4691.49	0.00521486	0.00440043	0.00523938	0.00440268	0.00495776	0.00518697	0.00450917	0.00436881	0.00471153	0.00506959	0.00474285	0.00445784	23.5616	0.00522624	0.00465345	0.00468547	0.00459499	0.00471515	0.00502759	0.0052236	0.00551044	0.00478919	0.00495063	2.45663	5.12574	4.60448	4.22075	4.47082	4.30107	4.56202	5.19646	4.36587	4.35783	5.00114	4.33536	5.45395	4.1687	4.89869	4.52069	4.2849	4.81037	4.21644	5.07933	4.33667	5.21637	4.45055	5.04151	3.7595	3.67131	-2.28276	-2.35651	-2.28072	-2.35628	-2.30471	-2.28509	-2.3459	-2.35964	-2.32684	-2.29503	-2.32396	-2.35088	1.37221	-2.28181	-2.33223	-2.32925	-2.33772	-2.3265	-2.29864	-2.28203	-2.25881	-2.31974	-2.30534	0.993719	83.2605	2.47216
40	-141711	-141427	-283.933	0.0213204	0.212777	0.197225	0.220569	0.211359	0.230446	0.218859	0.177101	0.23139	0.214267	0.212495	0.229114	0.193466	0.0355892	0.192468	0.220572	0.19004	0.198011	0.210694	0.212619	0.219963	0.210757	0.22144	0.197255	4774.37	0.00497484	0.00523812	0.00468736	0.00523849	0.00514596	0.0048401	0.00453734	0.00502424	0.00504947	0.00476409	0.00523312	0.00489961	22.4185	0.00453082	0.00459964	0.00457151	0.00440108	0.004663	0.00469953	0.00460727	0.00551044	0.00506098	0.00476528	2.56274	4.55467	5.10768	6.05156	4.78721	4.82683	5.71673	4.35764	4.69655	4.91643	4.26331	5.04334	4.89223	4.17543	4.89869	4.87955	5.24424	4.05992	4.73138	4.54275	5.28322	5.36489	5.1179	4.50669	4.89036	3.67892	-2.30322	-2.28082	-2.32907	-2.28079	-2.28853	-2.31515	-2.3432	-2.29893	-2.29675	-2.32202	-2.28124	-2.30984	1.35061	-2.34382	-2.33728	-2.33994	-2.35644	-2.33133	-2.32795	-2.33656	-2.25881	-2.29576	-2.32191	0.994804	83.2605	2.57613
50	-141709	-141427	-282.256	0.0214482	0.219962	0.215143	0.236577	0.190827	0.203102	0.232151	0.237962	0.190891	0.208169	0.19026	0.23789	0.213053	0.0357977	0.19534	0.20439	0.210187	0.224904	0.216181	0.210353	0.225354	0.22563	0.211961	0.221987	4652.5	0.00434816	0.00469869	0.00457857	0.00487135	0.00472249	0.00512145	0.00508607	0.00521316	0.00469853	0.00494789	0.00488147	0.00479084	23.6642	0.00510002	0.00496538	0.00492231	0.0046888	0.00470788	0.00459886	0.00522351	0.00472161	0.00487917	0.00447964	2.6019	5.41429	4.43186	4.87785	4.5198	4.93875	4.93328	4.20101	4.91274	4.51008	4.16719	5.29436	4.29601	4.63738	5.22724	4.95958	4.68262	5.27596	4.96268	4.00015	5.66453	5.27217	4.54314	5.11515	4.29815	3.66769	-2.36169	-2.32802	-2.33927	-2.31235	-2.32583	-2.29061	-2.29362	-2.2829	-2.32804	-2.30558	-2.31145	-2.31959	1.37409	-2.29243	-2.30405	-2.30783	-2.32894	-2.32717	-2.33735	-2.28204	-2.32591	-2.31165	-2.34876	0.998225	82.5711	2.60653
60	-141715	-141433	-282.711	0.0214016	0.190459	0.217489	0.224006	0.188585	0.220273	0.21685	0.181177	0.209481	0.203076	0.230053	0.250607	0.205501	0.0365329	0.223192	0.252967	0.208961	0.207534	0.204767	0.192066	0.196112	0.21818	0.228199	0.216342	5096.24	0.00493982	0.00505756	0.00511604	0.0053018	0.00478064	0.00521759	0.00509587	0.00461247	0.00522317	0.00454636	0.00462464	0.00475694	20.0496	0.00484826	0.0050984	0.00525676	0.00494589	0.0047302	0.00469602	0.00449082	0.00475927	0.00424091	0.00467083	2.28328	5.13248	4.8123	5.3005	4.94496	4.89361	4.47497	4.90167	5.65593	4.55824	4.53982	5.29313	4.80508	5.18935	4.43469	4.6155	4.5168	5.01522	5.07719	4.37865	4.69706	5.11069	4.93317	4.75684	4.48174	3.70725	-2.30629	-2.29606	-2.29107	-2.27558	-2.32051	-2.28253	-2.29278	-2.33607	-2.28207	-2.34234	-2.33492	-2.32267	1.3021	-2.31441	-2.29257	-2.27928	-2.30576	-2.32512	-2.32827	-2.34767	-2.32246	-2.37254	-2.33061	0.998374	81.6014	2.287
70	-141708	-141426	-282.065	0.0215074	0.199735	0.186833	0.222094	0.198434	0.203971	0.244548	0.196568	0.228911	0.236498	0.189763	0.201285	0.243966	0.0360053	0.214649	0.243877	0.179598	0.195481	0.202996	0.185962	0.225343	0.218194	0.22636	0.204328	4881.32	0.00493982	0.00509122	0.00512644	0.00475334	0.00503674	0.00507306	0.00483425	0.0046592	0.0048841	0.00487292	0.00497359	0.00447865	19.3566	0.00478301	0.00489703	0.00499319	0.00469451	0.00494021	0.00526565	0.00532804	0.00496444	0.00482745	0.00482695	2.6223	5.12465	4.58659	4.27021	4.72952	5.74356	4.40134	5.04635	4.65259	4.61802	5.10089	5.29313	4.72493	3.79633	4.99344	4.58785	4.37001	4.64171	5.20487	4.90998	4.39275	4.9421	4.69813	4.62484	4.75619	3.68854	-2.30629	-2.29318	-2.29018	-2.323	-2.29785	-2.29473	-2.31567	-2.33169	-2.31122	-2.31221	-2.30333	-2.34885	1.28683	-2.3203	-2.31007	-2.30162	-2.32841	-2.30625	-2.27855	-2.27343	-2.30413	-2.31628	-2.31633	0.997998	83.2584	2.62756
80	-141704	-141421	-282.929	0.0218173	0.208867	0.215448	0.200284	0.22992	0.217043	0.210777	0.231528	0.217666	0.208807	0.239313	0.192591	0.204121	0.0368058	0.200093	0.219702	0.22291	0.20791	0.213455	0.238229	0.21871	0.184875	0.225657	0.231945	3628.77	0.00469649	0.00521394	0.00429829	0.00498319	0.00438839	0.00480721	0.00472722	0.004974	0.00539108	0.0044357	0.00474874	0.00462154	18.1488	0.00460642	0.0045249	0.00508411	0.00491155	0.00441945	0.00497355	0.00498284	0.00462465	0.00522321	0.00482695	2.87977	4.96706	4.77643	4.00786	4.72952	4.45642	4.85949	4.85233	4.63101	5.78534	4.47163	4.51302	4.91251	4.84539	4.80905	4.50028	4.75595	4.52128	4.5356	4.94724	4.91112	4.88771	4.87984	5.48228	4.84179	3.55976	-2.32823	-2.28283	-2.3667	-2.30249	-2.35769	-2.31811	-2.32539	-2.30329	-2.26832	-2.35304	-2.32342	-2.33521	1.25885	-2.33664	-2.34439	-2.29379	-2.30878	-2.35463	-2.30333	-2.30252	-2.33492	-2.28206	-2.31633	0.996034	83.2584	2.89124
90	-141700	-141419	-280.652	0.0218338	0.200611	0.199059	0.228224	0.216404	0.19825	0.22632	0.225553	0.220002	0.202467	0.201107	0.210786	0.231362	0.0367447	0.210535	0.214872	0.207574	0.225501	0.200804	0.22134	0.238366	0.19007	0.216884	0.234811	3723.63	0.00514422	0.00499797	0.00511199	0.00491409	0.00550997	0.00487956	0.00427743	0.00539675	0.00478928	0.00455493	0.00460441	0.00482821	18.6821	0.00545769	0.00505482	0.00467755	0.00491155	0.00508808	0.00440557	0.00457189	0.00487144	0.00496636	0.00495736	2.37176	4.75826	4.72122	4.70312	4.73534	5.06275	4.45018	5.38798	4.63104	4.18199	4.94091	4.53035	4.77228	4.23865	4.42781	4.44875	4.71729	5.06904	4.71003	4.23396	5.01798	4.442	4.77647	5.18214	4.8329	3.57097	-2.28868	-2.30121	-2.29141	-2.30856	-2.25885	-2.31162	-2.36882	-2.26787	-2.31973	-2.34152	-2.33683	-2.31621	1.27143	-2.26299	-2.29629	-2.32998	-2.30878	-2.29345	-2.356	-2.3399	-2.31234	-2.30396	-2.30475	0.99699	80.3419	2.37892
