Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	alpha[11]	alpha[12]	alpha[13]	alpha[14]	alpha[15]	alpha[16]	alpha[17]	alpha[18]	alpha[19]	alpha[20]	alpha[21]	alpha[22]	alpha[23]	alpha[24]	clock_rate[1]	clock_rate[2]	clock_rate[3]	clock_rate[4]	clock_rate[5]	clock_rate[6]	clock_rate[7]	clock_rate[8]	clock_rate[9]	clock_rate[10]	clock_rate[11]	clock_rate[12]	clock_rate[13]	clock_rate[14]	clock_rate[15]	clock_rate[16]	clock_rate[17]	clock_rate[18]	clock_rate[19]	clock_rate[20]	clock_rate[21]	clock_rate[22]	clock_rate[23]	clock_rate[24]	extinction	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	kappa[11]	kappa[12]	kappa[13]	kappa[14]	kappa[15]	kappa[16]	kappa[17]	kappa[18]	kappa[19]	kappa[20]	kappa[21]	kappa[22]	kappa[23]	kappa[24]	log_clock_rate[1]	log_clock_rate[2]	log_clock_rate[3]	log_clock_rate[4]	log_clock_rate[5]	log_clock_rate[6]	log_clock_rate[7]	log_clock_rate[8]	log_clock_rate[9]	log_clock_rate[10]	log_clock_rate[11]	log_clock_rate[12]	log_clock_rate[13]	log_clock_rate[14]	log_clock_rate[15]	log_clock_rate[16]	log_clock_rate[17]	log_clock_rate[18]	log_clock_rate[19]	log_clock_rate[20]	log_clock_rate[21]	log_clock_rate[22]	log_clock_rate[23]	log_clock_rate[24]	relativeExtinction	root	speciation
0	-140902	-140621	-281.137	0.11982	0.112111	0.121073	0.113631	0.11381	0.12032	0.121509	0.111633	0.119697	0.118906	0.129865	0.130155	0.116627	0.107275	0.120215	0.115407	0.110066	0.125577	0.111829	0.102193	0.118578	0.118027	0.137223	0.123595	0.0296307	0.0260666	0.02974	0.0275143	0.0278098	0.0296626	0.0295486	0.0295641	0.0302717	0.0283734	0.0273328	0.0287413	0.0286492	0.0272749	0.0297132	0.0316456	0.0294942	0.0281499	0.0282138	0.0263291	0.0287005	0.0286696	0.0291179	0.0263487	7.91384	4.84847	5.00598	4.44546	4.90483	4.07663	4.48739	4.79686	5.32805	5.42922	4.74209	4.43089	5.60144	4.54152	5.08868	5.03992	5.15836	5.48765	4.6155	4.36783	4.62685	4.47634	4.59066	5.3212	5.34178	-1.52826	-1.58392	-1.52666	-1.56044	-1.5558	-1.52779	-1.52946	-1.52924	-1.51896	-1.54709	-1.56332	-1.54149	-1.54289	-1.56424	-1.52705	-1.49969	-1.53026	-1.55052	-1.54954	-1.57956	-1.54211	-1.54258	-1.53584	-1.57924	0.99874	64.1264	7.92382
10	-140908	-140625	-283.275	0.117026	0.111484	0.112009	0.106227	0.11291	0.116981	0.109491	0.124786	0.11351	0.112567	0.11542	0.118642	0.114517	0.117967	0.133435	0.11962	0.115025	0.112008	0.112895	0.126738	0.118564	0.123011	0.129142	0.107532	0.0296896	0.026616	0.0252982	0.0289205	0.026913	0.028309	0.0290932	0.0307334	0.0267071	0.0276356	0.0322246	0.0281725	0.0279616	0.0283763	0.0318289	0.0294173	0.0309005	0.0289861	0.0259721	0.0268586	0.028113	0.031404	0.0285858	0.0291479	6.23958	4.87418	6.54669	5.16097	4.81804	5.20165	5.166	5.48236	5.32598	4.9347	4.96676	5.41268	4.73644	5.51248	5.17557	4.4239	5.20834	4.67568	4.5952	5.10712	4.45817	5.17563	5.48138	4.56731	4.5424	-1.5274	-1.57486	-1.59691	-1.53879	-1.57004	-1.54808	-1.53621	-1.51239	-1.57337	-1.55853	-1.49181	-1.55017	-1.55344	-1.54704	-1.49718	-1.5314	-1.51003	-1.53781	-1.58549	-1.57092	-1.55109	-1.50301	-1.54385	-1.53539	0.997722	64.1264	6.25382
20	-140906	-140623	-283.079	0.113155	0.139714	0.110525	0.112112	0.111102	0.114001	0.119245	0.112899	0.125624	0.12422	0.123846	0.118527	0.109325	0.109685	0.126148	0.13207	0.106715	0.129974	0.115602	0.128742	0.11812	0.113284	0.118643	0.124381	0.0265806	0.0291266	0.0282679	0.0267698	0.0309424	0.0249947	0.0263469	0.0306038	0.0308997	0.0265857	0.0288547	0.0284762	0.027931	0.0283763	0.0278524	0.0272031	0.0263832	0.0273484	0.0259547	0.0287549	0.0282662	0.0273086	0.0257919	0.0295122	7.691	4.13918	4.77485	4.59159	5.66745	5.00812	5.46868	5.74819	5.33673	5.30185	4.77181	4.89362	5.55938	4.51982	4.31491	5.69287	5.83815	4.78219	6.34447	4.78752	5.42613	4.15317	4.98208	4.76113	4.58626	-1.57544	-1.53571	-1.54871	-1.57235	-1.50945	-1.60215	-1.57927	-1.51423	-1.51005	-1.57535	-1.53978	-1.54552	-1.55391	-1.54704	-1.55514	-1.56538	-1.57867	-1.56307	-1.58578	-1.54129	-1.54873	-1.5637	-1.58852	-1.53	0.999845	64.1264	7.6922
30	-140903	-140621	-282.716	0.129703	0.114186	0.115213	0.125024	0.113186	0.112366	0.112505	0.119278	0.123447	0.122132	0.129226	0.117852	0.112879	0.125605	0.129513	0.120982	0.129942	0.111557	0.115486	0.109663	0.113508	0.12266	0.113748	0.113038	0.0292384	0.0265093	0.0269387	0.027685	0.0299481	0.0274688	0.0279743	0.0275606	0.0252236	0.028965	0.0265179	0.0279977	0.0276875	0.0257039	0.0275717	0.0301525	0.0286843	0.0254116	0.0278478	0.0242555	0.028746	0.0293343	0.0292273	0.0259494	6.97984	4.98074	4.31575	5.01562	4.75621	6.52275	5.48247	4.97882	4.94291	4.84225	4.38106	4.75694	5.54277	4.852	4.38979	4.63548	5.42194	5.15085	4.88747	5.34832	4.62053	4.73403	4.26947	5.22976	4.81494	-1.53405	-1.5766	-1.56962	-1.55775	-1.52363	-1.56116	-1.55324	-1.55971	-1.59819	-1.53813	-1.57646	-1.55288	-1.55772	-1.59	-1.55954	-1.52068	-1.54236	-1.59497	-1.55521	-1.61519	-1.54142	-1.53262	-1.53421	-1.58587	0.999388	63.7112	6.98411
40	-140880	-140597	-283.209	0.127419	0.119207	0.112084	0.111398	0.130519	0.118001	0.120456	0.117228	0.125481	0.115747	0.111954	0.117313	0.117633	0.116522	0.118104	0.118565	0.115685	0.113915	0.111467	0.128379	0.120685	0.111136	0.11408	0.123547	0.0302104	0.0273976	0.0256699	0.0272869	0.0259747	0.030071	0.0278356	0.0291934	0.0253542	0.0254353	0.0265012	0.0283789	0.0275849	0.0294663	0.0279004	0.0284588	0.0286843	0.0290218	0.027742	0.0283239	0.0275354	0.0271991	0.0288618	0.0297345	4.69933	4.46639	5.38221	5.16202	5.19372	4.95534	5.35117	4.97926	4.49141	5.01481	4.87456	4.75694	4.99658	4.91925	5.0513	4.63548	4.93245	4.87589	4.36844	5.04427	4.29382	5.63718	5.02445	5.67734	5.43523	-1.51984	-1.56229	-1.59058	-1.56405	-1.58545	-1.52185	-1.5554	-1.53472	-1.59595	-1.59456	-1.57673	-1.547	-1.55933	-1.53067	-1.55439	-1.54578	-1.54236	-1.53728	-1.55686	-1.54785	-1.56011	-1.56544	-1.53968	-1.52674	0.996551	64.148	4.71559
50	-140899	-140617	-282.456	0.125841	0.117909	0.114708	0.113113	0.123989	0.115454	0.111306	0.113466	0.105094	0.116236	0.118041	0.109564	0.105087	0.114866	0.12565	0.123642	0.120969	0.107826	0.121763	0.116185	0.113855	0.114422	0.118771	0.108135	0.0277115	0.0260758	0.0295201	0.028384	0.0267129	0.029039	0.0277571	0.0289115	0.0263075	0.0288979	0.0292804	0.0300923	0.0272924	0.0320419	0.0258244	0.02933	0.025621	0.0286909	0.0290269	0.0240727	0.0275354	0.0265749	0.028139	0.0245393	5.52019	5.20762	4.94686	3.9202	5.1433	4.35376	4.81397	4.36292	4.32917	5.00206	5.18474	4.66823	5.3528	5.27346	3.6631	4.40447	4.53661	4.7984	4.81188	4.57097	4.4839	5.17082	4.71695	5.78021	5.43523	-1.55734	-1.58376	-1.52988	-1.54693	-1.57328	-1.53702	-1.55663	-1.53893	-1.57992	-1.53913	-1.53342	-1.52155	-1.56396	-1.49428	-1.58797	-1.53269	-1.5914	-1.54226	-1.5372	-1.61848	-1.56011	-1.57553	-1.55069	-1.61014	0.991726	64.148	5.56625
60	-140888	-140609	-279.054	0.121604	0.118539	0.116338	0.132761	0.109231	0.113595	0.11286	0.122828	0.120828	0.111538	0.115215	0.128076	0.122797	0.115032	0.109765	0.123131	0.10828	0.119002	0.118476	0.116412	0.116573	0.123376	0.119643	0.119913	0.030497	0.0282228	0.0256201	0.0295128	0.0265208	0.0269072	0.0283011	0.0278919	0.0294155	0.0278299	0.0267073	0.028749	0.0276991	0.0266816	0.0276575	0.0311059	0.0252965	0.0249	0.0284035	0.026613	0.0269706	0.0287746	0.0278729	0.027147	4.57135	4.84002	4.82434	5.47162	4.75798	5.59799	4.81397	4.72235	4.2915	5.00965	5.94769	4.65858	5.54643	4.59225	4.20045	4.38116	5.01262	4.86462	5.24039	5.67122	5.59387	4.50478	5.31148	4.83428	5.4988	-1.51574	-1.5494	-1.59142	-1.52999	-1.57641	-1.57013	-1.5482	-1.55452	-1.53142	-1.55549	-1.57337	-1.54138	-1.55753	-1.57379	-1.55819	-1.50716	-1.59694	-1.6038	-1.54663	-1.57491	-1.56911	-1.54099	-1.55482	-1.56628	0.996371	66.1561	4.588
70	-140896	-140618	-278.044	0.138967	0.115315	0.122204	0.12199	0.117486	0.122812	0.123348	0.114911	0.118357	0.110664	0.119194	0.126109	0.117586	0.122167	0.118142	0.126496	0.109602	0.113864	0.105749	0.121462	0.109096	0.114543	0.113782	0.119381	0.0279034	0.0269515	0.027512	0.0250956	0.0252079	0.0254404	0.0283011	0.0288402	0.0243815	0.0291477	0.0270741	0.0273606	0.0284467	0.0276285	0.0279994	0.0270293	0.0262961	0.0272391	0.0267113	0.0271921	0.0308152	0.0278262	0.0269711	0.0243913	4.56762	5.19438	5.07853	4.42147	6.1895	5.97846	4.39603	5.38879	4.79234	5.04794	5.07708	5.00547	5.00427	4.4391	4.41646	4.87502	4.15088	4.40393	4.3535	4.34359	4.56174	4.88925	5.07007	5.28842	4.94053	-1.55434	-1.56942	-1.56048	-1.6004	-1.59846	-1.59448	-1.5482	-1.54	-1.61294	-1.5354	-1.56745	-1.56288	-1.54597	-1.55864	-1.55285	-1.56817	-1.58011	-1.56481	-1.57331	-1.56556	-1.51124	-1.55555	-1.5691	-1.61276	0.996625	65.895	4.58309
80	-140889	-140612	-276.777	0.118864	0.107399	0.111926	0.11459	0.113079	0.120248	0.119442	0.121534	0.118457	0.11839	0.117036	0.108083	0.124473	0.105957	0.12612	0.123077	0.101053	0.111239	0.115899	0.105666	0.11742	0.114052	0.1189	0.113292	0.0265209	0.0267788	0.0288934	0.027405	0.0277326	0.0251741	0.0261451	0.0294502	0.0267188	0.0291637	0.0262721	0.0261958	0.0270447	0.0284327	0.0291014	0.0286358	0.0260996	0.0274494	0.0269228	0.0302763	0.0265703	0.0276404	0.0281466	0.025225	4.82494	5.4477	5.09681	4.80382	5.08544	4.9347	4.27022	4.91192	5.26219	5.40217	5.17367	4.73973	4.93429	4.45593	4.67125	6.14758	5.18968	5.26708	5.15605	4.82176	5.24685	5.09948	4.91365	4.54553	4.48682	-1.57641	-1.57221	-1.5392	-1.56217	-1.55701	-1.59905	-1.58261	-1.53091	-1.57318	-1.53516	-1.5805	-1.58177	-1.56792	-1.54618	-1.53609	-1.54309	-1.58337	-1.56147	-1.56988	-1.5189	-1.5756	-1.55846	-1.55057	-1.59817	0.994764	67.4549	4.85034
90	-140912	-140636	-275.483	0.120075	0.130755	0.110114	0.106509	0.123154	0.12386	0.112735	0.124977	0.112872	0.108739	0.110319	0.117135	0.123634	0.112351	0.137485	0.125842	0.123268	0.117395	0.119669	0.113846	0.12737	0.129007	0.117638	0.115214	0.0269463	0.0257254	0.0283333	0.0262682	0.0276438	0.0306257	0.0268169	0.0296679	0.0296651	0.0275065	0.0272234	0.0254626	0.0269161	0.0251607	0.0261655	0.0276628	0.0258921	0.0291975	0.0283651	0.0279202	0.0246549	0.0266383	0.028961	0.0269757	3.96627	4.99063	4.85879	5.22314	4.51247	4.44632	4.98338	4.66576	4.32204	5.64104	5.46483	4.27474	4.90379	5.08809	4.90236	5.19824	5.19993	4.77724	4.83984	4.86007	5.17572	4.48259	4.94618	5.03562	6.13405	-1.5695	-1.58964	-1.5477	-1.58057	-1.5584	-1.51391	-1.57159	-1.52771	-1.52775	-1.56056	-1.56506	-1.5941	-1.56999	-1.59928	-1.58227	-1.5581	-1.58683	-1.53465	-1.54722	-1.55408	-1.6081	-1.57449	-1.53819	-1.56903	0.992258	68.6654	3.99722
