Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	alpha[11]	alpha[12]	alpha[13]	alpha[14]	alpha[15]	alpha[16]	alpha[17]	alpha[18]	alpha[19]	alpha[20]	alpha[21]	alpha[22]	alpha[23]	alpha[24]	clock_rate[1]	clock_rate[2]	clock_rate[3]	clock_rate[4]	clock_rate[5]	clock_rate[6]	clock_rate[7]	clock_rate[8]	clock_rate[9]	clock_rate[10]	clock_rate[11]	clock_rate[12]	clock_rate[13]	clock_rate[14]	clock_rate[15]	clock_rate[16]	clock_rate[17]	clock_rate[18]	clock_rate[19]	clock_rate[20]	clock_rate[21]	clock_rate[22]	clock_rate[23]	clock_rate[24]	extinction	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	kappa[11]	kappa[12]	kappa[13]	kappa[14]	kappa[15]	kappa[16]	kappa[17]	kappa[18]	kappa[19]	kappa[20]	kappa[21]	kappa[22]	kappa[23]	kappa[24]	log_clock_rate[1]	log_clock_rate[2]	log_clock_rate[3]	log_clock_rate[4]	log_clock_rate[5]	log_clock_rate[6]	log_clock_rate[7]	log_clock_rate[8]	log_clock_rate[9]	log_clock_rate[10]	log_clock_rate[11]	log_clock_rate[12]	log_clock_rate[13]	log_clock_rate[14]	log_clock_rate[15]	log_clock_rate[16]	log_clock_rate[17]	log_clock_rate[18]	log_clock_rate[19]	log_clock_rate[20]	log_clock_rate[21]	log_clock_rate[22]	log_clock_rate[23]	log_clock_rate[24]	relativeExtinction	root	speciation
0	-141676	-141364	-312.055	0.190038	0.175608	0.0629363	0.181095	0.174483	0.175941	0.198078	0.165071	0.18269	0.179998	0.17983	0.189243	0.185017	0.181283	0.172635	0.172674	0.179595	0.169309	0.184376	0.173006	0.164377	0.0546495	0.192641	0.180373	0.0100944	0.00900944	1.42367	0.00872318	0.0104584	0.00898892	0.0098368	0.00990955	0.0112075	0.00961562	0.00951244	0.00975808	0.00879011	0.0104071	0.0102274	0.010988	0.00896187	0.0104957	0.0112382	0.0094501	0.00927652	2.88032	0.0100311	0.00934222	4.08467	5.24713	4.22691	5.39286	4.81789	5.47046	4.59177	4.88047	4.72763	5.38963	5.89202	6.64901	4.59991	4.60367	5.10732	4.09525	5.08503	5.43836	4.42681	4.87805	4.91122	4.95335	5.0142	5.19675	4.56538	-1.99592	-2.0453	0.153409	-2.05932	-1.98054	-2.04629	-2.00715	-2.00395	-1.95049	-2.01702	-2.02171	-2.01064	-2.05601	-1.98267	-1.99023	-1.95908	-2.0476	-1.97899	-1.9493	-2.02456	-2.03262	0.459441	-1.99865	-2.02955	0.999893	57.744	4.0851
10	-141676	-141369	-307.006	0.153499	0.178509	0.0632889	0.184218	0.180217	0.167377	0.170227	0.197505	0.140084	0.176504	0.197738	0.190964	0.17422	0.190665	0.18844	0.162529	0.179723	0.180345	0.168371	0.169411	0.17295	0.0555785	0.179053	0.179801	0.0115045	0.0103097	1.3002	0.0105028	0.00945818	0.0103029	0.0098368	0.00933444	0.00930917	0.0105518	0.0099926	0.00865571	0.00926438	0.0100507	0.00944041	0.00961477	0.00901115	0.0106682	0.0102203	0.00857764	0.00918168	2.66197	0.0098523	0.0105416	3.71529	4.64393	5.81231	4.85582	5.75374	6.01887	4.18812	4.48848	4.79266	5.04779	4.89318	5.13557	5.16526	4.69059	4.49135	5.04166	4.77297	5.68916	5.40908	4.68608	5.18441	5.35033	5.01109	4.82371	5.34935	-1.93913	-1.98676	0.114011	-1.97869	-2.02419	-1.98704	-2.00715	-2.02991	-2.03109	-1.97667	-2.00032	-2.0627	-2.03318	-1.99781	-2.02501	-2.01706	-2.04522	-1.97191	-1.99054	-2.06663	-2.03708	0.425203	-2.00646	-1.9771	0.997196	59.5665	3.72573
20	-141670	-141356	-313.673	0.19941	0.185811	0.0657834	0.192688	0.208999	0.185597	0.17151	0.191813	0.191381	0.172925	0.214247	0.185177	0.207223	0.172218	0.174448	0.208903	0.172914	0.16673	0.166416	0.177418	0.165274	0.056553	0.184051	0.190748	0.00928251	0.0110509	1.24979	0.0100418	0.00960252	0.00892995	0.00986159	0.0102373	0.00998599	0.00918224	0.00950248	0.0108035	0.0101946	0.0110978	0.0104757	0.00966496	0.0101276	0.00881422	0.00930467	0.00989802	0.0104489	2.42419	0.0113355	0.0100565	5.10054	4.63168	5.18321	5.6564	4.88051	5.14224	5.13505	4.75231	4.68375	5.11369	4.71635	4.95004	4.65403	4.89203	5.49092	5.13323	4.45284	5.08377	5.32202	5.61684	5.40938	4.75433	5.19984	4.8272	5.59917	-2.03233	-1.9566	0.096837	-1.99819	-2.01761	-2.04915	-2.00605	-1.98981	-2.00061	-2.03705	-2.02216	-1.96644	-1.99163	-1.95476	-1.97982	-2.0148	-1.9945	-2.05482	-2.0313	-2.00445	-1.98093	0.384566	-1.94556	-1.99755	0.997219	57.7515	5.11477
30	-141658	-141345	-313.231	0.179524	0.173759	0.0699531	0.180518	0.186199	0.165956	0.178925	0.186275	0.186433	0.178963	0.177059	0.196877	0.17597	0.220823	0.161551	0.165687	0.179022	0.156092	0.164447	0.190294	0.169997	0.058168	0.184786	0.192624	0.0107073	0.0110098	0.855123	0.0115616	0.0107603	0.00952919	0.0101022	0.0103812	0.0110593	0.0100673	0.0103681	0.00968722	0.0108885	0.0109593	0.0101908	0.00990949	0.00989595	0.0097181	0.0101059	0.0111644	0.0103057	2.13793	0.0106725	0.00945467	3.11735	4.52782	5.13939	6.01762	4.67314	4.38646	5.65687	5.13148	4.76243	5.0267	5.03414	4.59984	5.9057	5.02568	5.5648	5.36329	5.22521	4.91511	5.04676	4.9821	3.99147	4.37611	4.80008	5.23002	5.37132	-1.97032	-1.95822	-0.0679716	-1.93698	-1.96818	-2.02094	-1.99559	-1.98375	-1.95627	-1.99709	-1.9843	-2.0138	-1.96303	-1.96022	-1.99179	-2.00395	-2.00454	-2.01242	-1.99543	-1.95216	-1.98692	0.329994	-1.97173	-2.02435	0.996356	57.7515	3.12876
40	-141670	-141369	-301.594	0.170753	0.153622	0.0730456	0.188093	0.196368	0.165297	0.178056	0.169492	0.196051	0.188513	0.181264	0.190345	0.173447	0.18485	0.178493	0.195527	0.180005	0.174836	0.173318	0.183485	0.200336	0.0584592	0.173755	0.162673	0.010999	0.0105932	0.806241	0.010744	0.00918084	0.00980831	0.0101136	0.00940334	0.0110608	0.0105435	0.0099406	0.0102472	0.0105893	0.0093851	0.0106577	0.0100865	0.00980363	0.00954866	0.0102828	0.0118486	0.0103912	1.96062	0.0110948	0.00980696	3.44873	4.70295	4.24273	5.70976	5.48103	3.8979	4.96702	5.28784	5.04846	4.68839	5.83249	5.10137	4.91366	4.56483	5.16596	5.58716	5.06588	4.74792	4.80848	4.52138	4.4603	4.56246	5.00933	5.01597	5.77248	-1.95865	-1.97497	-0.0935352	-1.96883	-2.03712	-2.00841	-1.9951	-2.02672	-1.95621	-1.97701	-2.00259	-1.98939	-1.97513	-2.02756	-1.97234	-1.99626	-2.00861	-2.02006	-1.98789	-1.92633	-1.98333	0.292393	-1.95488	-2.00847	0.991306	61.3173	3.47898
50	-141656	-141361	-295.1	0.164591	0.178162	0.075985	0.166418	0.176877	0.1617	0.1795	0.178986	0.183216	0.18861	0.160739	0.184639	0.184281	0.193822	0.165628	0.150447	0.171747	0.167792	0.16875	0.161066	0.190153	0.0570983	0.178409	0.177226	0.00924767	0.0100791	0.632863	0.011879	0.0103908	0.0104195	0.00916162	0.0106545	0.00996184	0.0106681	0.0108484	0.0094905	0.0103449	0.0111445	0.0105247	0.00905654	0.0102703	0.00893219	0.0102144	0.0103025	0.00973746	2.28604	0.0101274	0.00965311	4.22504	4.84343	4.33575	6.83046	5.18746	5.14509	4.57454	4.89538	5.94116	5.9239	5.72464	5.07105	5.38537	4.71134	5.54154	5.4847	5.59348	4.66647	4.82029	5.49562	4.45894	5.02694	5.70719	5.02272	5.66876	-2.03397	-1.99658	-0.198691	-1.92522	-1.98335	-1.98215	-2.03803	-1.97247	-2.00166	-1.97191	-1.96463	-2.02271	-1.98527	-1.95294	-1.97779	-2.04304	-1.98842	-2.04904	-1.99079	-1.98706	-2.01155	0.359083	-1.9945	-2.01533	0.998799	64.5524	4.23012
60	-141654	-141361	-293.578	0.170823	0.179839	0.0781572	0.170262	0.205937	0.186427	0.173233	0.186338	0.195056	0.17702	0.189269	0.184745	0.170178	0.176224	0.17694	0.177176	0.167482	0.185311	0.181487	0.185364	0.190033	0.0559639	0.159107	0.172184	0.00888947	0.0105134	0.567367	0.0110039	0.0103009	0.0098827	0.0103934	0.0108769	0.010517	0.00958763	0.00988353	0.00939043	0.0104398	0.0103223	0.0106259	0.0104873	0.0104218	0.00933143	0.00859011	0.00986053	0.00948812	2.45667	0.00992312	0.00998671	2.62359	5.21636	4.85306	5.05543	5.06388	4.3222	5.2523	4.6876	5.35898	5.71765	4.88938	5.57256	5.3064	5.352	4.48217	4.88409	4.75866	5.00774	4.36677	5.23618	5.47031	4.72054	5.11118	4.78109	4.42703	-2.05112	-1.97826	-0.246136	-1.95845	-1.98713	-2.00512	-1.98324	-1.9635	-1.97811	-2.01829	-2.00509	-2.02731	-1.98131	-1.98622	-1.97363	-1.97934	-1.98206	-2.03005	-2.066	-2.0061	-2.02282	0.390348	-2.00335	-2.00058	0.99579	64.5524	2.63469
70	-141669	-141367	-302.214	0.159556	0.167309	0.0820611	0.168996	0.189683	0.184948	0.186681	0.187978	0.179629	0.187962	0.17786	0.184384	0.182982	0.167697	0.170296	0.174282	0.191266	0.188916	0.185704	0.174867	0.174289	0.0558928	0.155889	0.163277	0.0102509	0.0111716	0.512448	0.0107311	0.0101892	0.00979194	0.0113848	0.0085846	0.00947866	0.0107092	0.0102709	0.0100494	0.0102082	0.0108301	0.00955803	0.0109205	0.010524	0.00967235	0.0107444	0.00882566	0.00925611	2.40101	0.0113402	0.00862853	3.17564	5.93225	4.95586	5.58932	5.01342	4.77318	5.42465	5.09064	5.4651	5.49812	6.33272	5.10023	5.92484	4.29874	3.88673	4.60376	4.89457	4.81627	5.50502	4.17055	5.58971	5.01757	6.14174	4.75334	5.29943	-1.98924	-1.95189	-0.29035	-1.96936	-1.99186	-2.00913	-1.94367	-2.06628	-2.02325	-1.97024	-1.98839	-1.99786	-1.99105	-1.96537	-2.01963	-1.96176	-1.97782	-2.01447	-1.96882	-2.05425	-2.03357	0.380394	-1.94538	-2.06406	0.998131	61.6797	3.18158
80	-141664	-141357	-307.045	0.185509	0.184655	0.0808982	0.163618	0.185376	0.216063	0.189178	0.162645	0.183591	0.200507	0.179401	0.187205	0.156482	0.188005	0.177071	0.200215	0.174794	0.158083	0.173233	0.193431	0.177696	0.056814	0.16482	0.161029	0.0116087	0.00998723	0.518244	0.00990666	0.0098997	0.0105877	0.00978171	0.0102257	0.00992188	0.00938649	0.00930356	0.00939397	0.0106872	0.0107211	0.0097263	0.0104939	0.010792	0.00906669	0.00895866	0.00863371	0.00872265	2.15933	0.0087232	0.00951711	3.28715	4.56221	4.87379	6.06683	5.18924	5.5803	4.87853	5.59574	5.19604	5.59972	5.93496	4.5723	5.48217	4.87112	5.16534	4.69478	4.60011	4.81627	5.20112	5.07851	5.44456	5.4234	4.82314	5.14561	4.81451	-1.93522	-2.00056	-0.285466	-2.00407	-2.00438	-1.9752	-2.00959	-1.99031	-2.00341	-2.0275	-2.03135	-2.02715	-1.97114	-1.96976	-2.01205	-1.97906	-1.9669	-2.04255	-2.04776	-2.0638	-2.05935	0.334319	-2.05932	-2.02149	0.999838	59.9096	3.28768
90	-141664	-141351	-313.135	0.167733	0.176193	0.0840168	0.164673	0.158087	0.167033	0.174044	0.18231	0.202992	0.165144	0.191481	0.176054	0.174197	0.187749	0.17598	0.211383	0.185761	0.178194	0.166628	0.200549	0.190961	0.0608783	0.16755	0.170339	0.00998888	0.0100255	0.455679	0.00918865	0.00940801	0.00946978	0.010604	0.00928228	0.00925283	0.00974931	0.00997217	0.00991896	0.010158	0.00903357	0.00990432	0.00946541	0.0103873	0.00984819	0.00863003	0.00892161	0.009723	1.76855	0.011241	0.0109273	3.47565	5.85366	4.67147	5.23209	5.07259	4.86833	4.69614	5.52595	5.4709	5.37123	4.7348	5.38957	4.9983	4.73885	4.99366	5.49495	4.53616	4.91808	4.98428	6.01809	4.87898	5.34226	5.8527	5.50154	4.82403	-2.00048	-1.99889	-0.341341	-2.03675	-2.0265	-2.02366	-1.97453	-2.03235	-2.03373	-2.01103	-2.00121	-2.00353	-1.99319	-2.04414	-2.00418	-2.02386	-1.9835	-2.00664	-2.06399	-2.04956	-2.0122	0.247617	-1.94919	-1.96149	0.999387	58.1158	3.47778
